Frame,Visibility,X,Y,Z,Original_Frame,Point_Coordinates_Camera1,Point_Coordinates_Camera2,Point_Costs_Formula1,Point_Costs_Formula2,Point_Costs_Epipolar,Point_Costs_Reprojection,Point_Costs_Temporal
118,1,[6.3129 ],[10.6825 ],[0.1240 ],118,"[(1237.0000, 528.0000)]","[(1096.0000, 438.0000)]",[7.300835],[17.955517],[13.450663],[7.300835],[21.309363]
119,1,[6.2442 ],[10.8642 ],[0.2245 ],119,"[(1243.0000, 532.0000)]","[(1105.0000, 438.0000)]",[5.674226],[13.396340],[11.879274],[5.674226],[15.444228]
120,1,[6.1884 ],[10.9901 ],[0.2740 ],120,"[(1245.0000, 536.0000)]","[(1110.0000, 442.0000)]",[7.265614],[12.437939],[13.230135],[7.265614],[10.344649]
121,1,[6.3371 ],[10.8856 ],[0.1587 ],121,"[(1257.0000, 543.0000)]","[(1116.0000, 446.0000)]",[6.880150],[16.971253],[12.704954],[6.880150],[20.182207]
122,1,[6.3422 ],[10.9909 ],[0.1514 ],122,"[(1265.0000, 555.0000)]","[(1125.0000, 453.0000)]",[5.626932],[17.962337],[11.302189],[5.626932],[24.670811]
123,1,[6.4673 ],[10.9209 ],[0.0229 ],123,"[(1274.0000, 566.0000)]","[(1130.0000, 461.0000)]",[5.652434],[16.965004],[11.071954],[5.652434],[22.625139]
124,1,[6.5180 ],[10.9310 ],[-0.0055 ],124,"[(1282.0000, 570.0000)]","[(1136.0000, 465.0000)]",[7.810808],[15.565535],[12.902607],[7.810808],[15.509454]
125,1,[6.4614 ],[11.0710 ],[0.0809 ],125,"[(1288.0000, 573.0000)]","[(1144.0000, 465.0000)]",[6.977080],[14.043324],[12.076530],[6.977080],[14.132489]
126,1,[6.4921 ],[11.0907 ],[0.0933 ],126,"[(1296.0000, 573.0000)]","[(1150.0000, 465.0000)]",[8.488147],[15.228490],[13.405018],[8.488147],[13.480687]
127,0,[0],[0],[0],127,[],[],[],[],[],[],[]
128,1,[6.7321 ],[11.0301 ],[-0.0034 ],128,"[(1327.0000, 585.0000)]","[(1170.0000, 465.0000)]",[3.359760],[3.359760],[8.497389],[3.359760],[0.000000]
129,1,[6.7937 ],[11.0438 ],[-0.0211 ],129,"[(1338.0000, 588.0000)]","[(1178.0000, 468.0000)]",[5.945615],[15.663210],[10.710238],[5.945615],[19.435189]
130,1,[6.6510 ],[11.2887 ],[0.1248 ],130,"[(1344.0000, 592.0000)]","[(1189.0000, 472.0000)]",[9.056187],[18.227582],[13.360960],[9.056187],[18.342790]
131,1,[6.5834 ],[11.4411 ],[0.1907 ],131,"[(1350.0000, 600.0000)]","[(1198.0000, 476.0000)]",[8.358369],[17.995548],[12.552680],[8.358369],[19.274358]
132,1,[6.3519 ],[11.7583 ],[0.3921 ],132,"[(1350.0000, 611.0000)]","[(1209.0000, 476.0000)]",[0.975795],[11.571777],[5.772733],[0.975795],[21.191965]
133,0,[0],[0],[0],133,[],[],[],[],[],[],[]
134,1,[6.8834 ],[11.3554 ],[0.0341 ],134,"[(1386.0000, 618.0000)]","[(1220.0000, 480.0000)]",[3.153827],[3.153827],[7.479091],[3.153827],[0.000000]
135,1,[6.8671 ],[11.4216 ],[0.0692 ],135,"[(1392.0000, 622.0000)]","[(1226.0000, 480.0000)]",[1.187783],[7.751365],[5.647546],[1.187783],[13.127164]
136,1,[3.0670 ],[14.8399 ],[2.9491 ],136,"[(360.0000, 258.0000)]","[(1237.0000, 487.0000)]",[312.237794],[840.213834],[327.923940],[312.237794],[1055.952080]
137,1,[3.0665 ],[14.8480 ],[2.9492 ],137,"[(354.0000, 262.0000)]","[(1245.0000, 491.0000)]",[312.591711],[320.360786],[328.627409],[312.591711],[15.538150]
138,1,[3.0692 ],[14.8539 ],[2.9502 ],138,"[(354.0000, 262.0000)]","[(1254.0000, 495.0000)]",[317.973313],[322.750988],[333.738546],[317.973313],[9.555349]
139,1,[3.0692 ],[14.8595 ],[2.9534 ],139,"[(351.0000, 258.0000)]","[(1260.0000, 498.0000)]",[326.336401],[331.980549],[341.972933],[326.336401],[11.288295]
140,1,[3.0739 ],[14.8660 ],[2.9560 ],140,"[(351.0000, 258.0000)]","[(1274.0000, 498.0000)]",[328.402403],[335.272950],[344.121279],[328.402403],[13.741094]
141,1,[3.0745 ],[14.8683 ],[2.9537 ],141,"[(351.0000, 262.0000)]","[(1276.0000, 502.0000)]",[328.192648],[332.237595],[343.747364],[328.192648],[8.089895]
142,1,[3.0780 ],[14.8698 ],[2.9542 ],142,"[(354.0000, 262.0000)]","[(1282.0000, 502.0000)]",[329.249885],[333.639382],[344.589595],[329.249885],[8.778994]
143,1,[3.0792 ],[14.8723 ],[2.9501 ],143,"[(354.0000, 270.0000)]","[(1285.0000, 506.0000)]",[324.641976],[330.868997],[339.976657],[324.641976],[12.454042]
144,0,[0],[0],[0],144,[],[],[],[],[],[],[]
145,0,[0],[0],[0],145,[],[],[],[],[],[],[]
146,0,[0],[0],[0],146,[],[],[],[],[],[],[]
147,0,[0],[0],[0],147,[],[],[],[],[],[],[]
148,0,[0],[0],[0],148,[],[],[],[],[],[],[]
149,0,[0],[0],[0],149,[],[],[],[],[],[],[]
150,0,[0],[0],[0],150,[],[],[],[],[],[],[]
151,0,[0],[0],[0],151,[],[],[],[],[],[],[]
152,0,[0],[0],[0],152,[],[],[],[],[],[],[]
153,0,[0],[0],[0],153,[],[],[],[],[],[],[]
154,0,[0],[0],[0],154,[],[],[],[],[],[],[]
155,0,[0],[0],[0],155,[],[],[],[],[],[],[]
