EventWall_ns,RowType,Source_Index,Source_WallClock_ns,HQ_Index,HQ_WallClock_ns,WallTimeDifference_ns,WallTimeDifference_ms
1784219379882413835,MATCHED,119,1784219379882413835,147,1784219379890712064,-8298229,-8.298229
1784219379923665695,MATCHED,120,1784219379923665695,148,1784219379923954998,-289303,-0.289303
1784219379951525444,MATCHED,121,1784219379951525444,149,1784219379959066982,-7541538,-7.541538
1784219379981556336,MATCHED,122,1784219379981556336,150,1784219379991500111,-9943775,-9.943775
1784219380013973553,MATCHED,123,1784219380013973553,151,1784219380024897431,-10923878,-10.923878
1784219380048197694,MATCHED,124,1784219380048197694,152,1784219380057942496,-9744802,-9.744802
1784219380081553901,MATCHED,125,1784219380081553901,153,1784219380091327835,-9773934,-9.773934
1784219380114754091,MATCHED,126,1784219380114754091,154,1784219380124059368,-9305277,-9.305277
1784219380148071409,MATCHED,127,1784219380148071409,155,1784219380156310740,-8239331,-8.239331
1784219380181356339,MATCHED,128,1784219380181356339,156,1784219380190596530,-9240191,-9.240191
1784219380214544252,MATCHED,129,1784219380214544252,157,1784219380224167163,-9622911,-9.622911
1784219380247858052,MATCHED,130,1784219380247858052,158,1784219380257596317,-9738265,-9.738265
1784219380281587828,MATCHED,131,1784219380281587828,159,1784219380291406373,-9818545,-9.818545
1784219380314515540,MATCHED,132,1784219380314515540,160,1784219380324129664,-9614124,-9.614124
1784219380347847969,MATCHED,133,1784219380347847969,161,1784219380357621372,-9773403,-9.773403
1784219380381309230,MATCHED,134,1784219380381309230,162,1784219380391033693,-9724463,-9.724463
1784219380414569142,MATCHED,135,1784219380414569142,163,1784219380423893446,-9324304,-9.324304
1784219380447870905,MATCHED,136,1784219380447870905,164,1784219380457407579,-9536674,-9.536674
1784219380481114428,MATCHED,137,1784219380481114428,165,1784219380491628871,-10514443,-10.514443
1784219380515980951,MATCHED,138,1784219380515980951,166,1784219380524132591,-8151640,-8.151640
1784219380547835952,MATCHED,139,1784219380547835952,167,1784219380557909259,-10073307,-10.073307
1784219380581825263,MATCHED,140,1784219380581825263,168,1784219380590759882,-8934619,-8.934619
1784219380614974139,MATCHED,141,1784219380614974139,169,1784219380624005001,-9030862,-9.030862
1784219380648279791,MATCHED,142,1784219380648279791,170,1784219380658328217,-10048426,-10.048426
1784219380681616646,MATCHED,143,1784219380681616646,171,1784219380691011880,-9395234,-9.395234
1784219380714242916,MATCHED,144,1784219380714242916,172,1784219380723793856,-9550940,-9.550940
1784219380748186468,MATCHED,145,1784219380748186468,173,1784219380758584048,-10397580,-10.397580
1784219380781114402,MATCHED,146,1784219380781114402,174,1784219380791025547,-9911145,-9.911145
1784219380814718884,MATCHED,147,1784219380814718884,175,1784219380825027415,-10308531,-10.308531
1784219380849935570,MATCHED,148,1784219380849935570,176,1784219380860749836,-10814266,-10.814266
1784219380880730361,MATCHED,149,1784219380880730361,177,1784219380892609564,-11879203,-11.879203
1784219380915373646,MATCHED,150,1784219380915373646,178,1784219380925040119,-9666473,-9.666473
1784219380948065471,MATCHED,151,1784219380948065471,179,1784219380957376656,-9311185,-9.311185
1784219380982005875,MATCHED,152,1784219380982005875,180,1784219381002008687,-20002812,-20.002812
1784219381029045209,MATCHED,153,1784219381029045209,181,1784219381026233808,2811401,2.811401
1784219381068658847,MATCHED,154,1784219381068658847,182,1784219381056905218,11753629,11.753629
1784219381101055768,MATCHED,155,1784219381101055768,183,1784219381088606764,12449004,12.449004
1784219381126754115,MATCHED,156,1784219381126754115,184,1784219381122140675,4613440,4.613440
1784219381158517654,MATCHED,157,1784219381158517654,185,1784219381155858936,2658718,2.658718
1784219381191298756,MATCHED,158,1784219381191298756,186,1784219381189487050,1811706,1.811706
1784219381234153192,MATCHED,159,1784219381234153192,187,1784219381222348655,11804537,11.804537
1784219381267906561,MATCHED,160,1784219381267906561,188,1784219381255530348,12376213,12.376213
1784219381302324997,MATCHED,161,1784219381302324997,189,1784219381290229837,12095160,12.095160
1784219381336984504,MATCHED,162,1784219381336984504,190,1784219381322887093,14097411,14.097411
1784219381365361932,MATCHED,163,1784219381365361932,191,1784219381359303171,6058761,6.058761
1784219381399330206,MATCHED,164,1784219381399330206,192,1784219381390546463,8783743,8.783743
1784219381435382032,MATCHED,165,1784219381435382032,193,1784219381424312464,11069568,11.069568
1784219381471219822,MATCHED,166,1784219381471219822,194,1784219381458314092,12905730,12.905730
1784219381500274761,MATCHED,167,1784219381500274761,195,1784219381492552920,7721841,7.721841
1784219381535259487,MATCHED,168,1784219381535259487,196,1784219381524839625,10419862,10.419862
1784219381570401526,MATCHED,169,1784219381570401526,197,1784219381558047688,12353838,12.353838
1784219381606211151,MATCHED,170,1784219381606211151,198,1784219381592336979,13874172,13.874172
1784219381624280118,MATCHED,171,1784219381624280118,199,1784219381623705695,574423,0.574423
1784219381649529359,MATCHED,172,1784219381649529359,200,1784219381657205607,-7676248,-7.676248
1784219381686390434,MATCHED,173,1784219381686390434,201,1784219381690337319,-3946885,-3.946885
1784219381718505470,MATCHED,174,1784219381718505470,202,1784219381723574457,-5068987,-5.068987
1784219381755479192,MATCHED,175,1784219381755479192,203,1784219381759384858,-3905666,-3.905666
1784219381789003379,MATCHED,176,1784219381789003379,204,1784219381790561169,-1557790,-1.557790
1784219381818790199,MATCHED,177,1784219381818790199,205,1784219381823552735,-4762536,-4.762536
1784219381851360062,MATCHED,178,1784219381851360062,206,1784219381857647528,-6287466,-6.287466
1784219381888964871,MATCHED,179,1784219381888964871,207,1784219381891026608,-2061737,-2.061737
1784219381938187125,MATCHED,180,1784219381938187125,208,1784219381925618358,12568767,12.568767
1784219381959318003,MATCHED,181,1784219381959318003,209,1784219381962039585,-2721582,-2.721582
1784219381984239340,MATCHED,182,1784219381984239340,210,1784219381993221544,-8982204,-8.982204
1784219382015288072,MATCHED,183,1784219382015288072,211,1784219382028268640,-12980568,-12.980568
1784219382053971794,MATCHED,184,1784219382053971794,212,1784219382057790602,-3818808,-3.818808
1784219382080810684,MATCHED,185,1784219382080810684,213,1784219382093019714,-12209030,-12.209030
1784219382114201576,MATCHED,186,1784219382114201576,214,1784219382125775598,-11574022,-11.574022
1784219382149005859,MATCHED,187,1784219382149005859,215,1784219382159144696,-10138837,-10.138837
1784219382182955374,MATCHED,188,1784219382182955374,216,1784219382192248816,-9293442,-9.293442
1784219382217206034,MATCHED,189,1784219382217206034,217,1784219382225100681,-7894647,-7.894647
1784219382246902003,MATCHED,190,1784219382246902003,218,1784219382256725079,-9823076,-9.823076
1784219382280211285,MATCHED,191,1784219382280211285,219,1784219382290836427,-10625142,-10.625142
1784219382314221336,MATCHED,192,1784219382314221336,220,1784219382325580083,-11358747,-11.358747
